source,target,length,time,costing
891e037acabffff,891e0371263ffff,3.029,2499.296,pedestrian
891e036a2b3ffff,891e0379987ffff,5.64,4265.72,pedestrian
891e037982fffff,891e0378ed3ffff,5.972,4566.273,pedestrian
891e0378c1bffff,891e03799bbffff,6.406,4920.599,pedestrian
891e0361427ffff,891e03614b3ffff,1.676,1289.44,pedestrian
891e1cb69d3ffff,891e037990bffff,10.651,7930.547,pedestrian
891e037a92fffff,891e037aa47ffff,6.443,5180.031,pedestrian
891e036355bffff,891e037a8cfffff,9.116,6897.436,pedestrian
891e037ab87ffff,891e037aacfffff,4.302,3505.008,pedestrian
891e036a0dbffff,891e037a84bffff,12.886,9909.737,pedestrian
891e037818bffff,891e0378e9bffff,2.519,2050.301,pedestrian
891e0378377ffff,891e0379cb7ffff,1.533,1181.473,pedestrian
891e036326fffff,891e036061bffff,6.176,4755.641,pedestrian
891e037a9cbffff,891e037a9cfffff,0.51,371.231,pedestrian
891e037aa47ffff,891e037121bffff,8.453,6622.501,pedestrian
891e0371a8bffff,891e0371e03ffff,2.352,1764.991,pedestrian
891e037ab8bffff,891e037aa33ffff,1.901,1563.464,pedestrian
891e0361483ffff,891e0363087ffff,5.699,4333.636,pedestrian
891e037a2bbffff,891e037aacfffff,7.019,5725.473,pedestrian
891e036a217ffff,891e036a28fffff,0.534,389.911,pedestrian
891e037a12fffff,891e03785afffff,3.399,2733.354,pedestrian
891e0378d3bffff,891e03781b7ffff,5.552,4336.659,pedestrian
891e036ac33ffff,891e037060fffff,27.543,20780.06,pedestrian
891e0378227ffff,891e037ac63ffff,10.661,8457.0,pedestrian
891e0371327ffff,891e0361887ffff,24.175,18292.72,pedestrian
891e03459d7ffff,891e0345993ffff,1.897,1764.949,pedestrian
891e0378c73ffff,891e0371347ffff,9.877,7644.142,pedestrian
891e03781cbffff,891e037aac7ffff,4.18,3483.617,pedestrian
891e0378d8fffff,891e0378edbffff,7.168,5480.057,pedestrian
891e0378317ffff,891e0371acbffff,11.72,9257.262,pedestrian
891e037aa3bffff,891e03789d7ffff,5.571,4333.75,pedestrian
891e037a443ffff,891e037a9cfffff,14.354,11518.98,pedestrian
891e0379913ffff,891e0378177ffff,7.906,6040.877,pedestrian
891e0378c1bffff,891e03713a3ffff,10.606,8125.852,pedestrian
891e0371c13ffff,891e0371c8bffff,0.64,485.076,pedestrian
891e037124fffff,891e037ae43ffff,4.279,3284.619,pedestrian
891e0378bcfffff,891e03798a7ffff,10.631,8095.385,pedestrian
891e03789dbffff,891e037a06bffff,12.557,9941.335,pedestrian
891e037a677ffff,891e0378583ffff,5.979,4888.107,pedestrian
891e037ad53ffff,891e037ad6fffff,2.153,1676.556,pedestrian
891e03603c7ffff,891e0360033ffff,2.264,1700.029,pedestrian
891e037aa07ffff,891e0378177ffff,3.677,2953.944,pedestrian
891e037a957ffff,891e0378597ffff,7.41,5892.395,pedestrian
891e03785c7ffff,891e0378edbffff,5.179,4045.453,pedestrian
891e03630b7ffff,891e0361eafffff,12.749,9562.342,pedestrian
891e0371537ffff,891e0378e83ffff,16.012,12364.656,pedestrian
891e0378b23ffff,891e0378b47ffff,1.71,1281.568,pedestrian
891e0363417ffff,891e03630c3ffff,2.503,1998.336,pedestrian
891e0344b63ffff,891e037a59bffff,0.623,524.832,pedestrian
891e0363507ffff,891e03635dbffff,2.382,1785.152,pedestrian
891e037a3c7ffff,891e037aa73ffff,6.177,4940.475,pedestrian
891e0378babffff,891e037ac77ffff,11.904,9163.114,pedestrian
891e0379c63ffff,891e0371173ffff,19.291,15180.018,pedestrian
891e0378edbffff,891e037ae37ffff,7.232,5787.019,pedestrian
891e0379927ffff,891e037857bffff,10.761,8404.28,pedestrian
891e036066fffff,891e0361117ffff,3.777,2826.854,pedestrian
891e03630d3ffff,891e037aa63ffff,7.277,5623.504,pedestrian
891e037abc3ffff,891e037a877ffff,2.049,1639.734,pedestrian
891e037a86fffff,891e03614a3ffff,9.282,7051.993,pedestrian
891e036a6dbffff,891e0378ed7ffff,9.582,7285.614,pedestrian
891e0360e8fffff,891e037ae0fffff,20.786,15923.275,pedestrian
891e037a903ffff,891e0378177ffff,7.6,5974.083,pedestrian
891e03605cfffff,891e036055bffff,1.306,1027.496,pedestrian
891e037a817ffff,891e037aa17ffff,2.939,2319.206,pedestrian
891e036355bffff,891e037a907ffff,4.474,3424.736,pedestrian
891e0345ba7ffff,891e0361883ffff,30.905,24328.949,pedestrian
891e037aa4fffff,891e0378197ffff,1.249,1054.719,pedestrian
891e0371e63ffff,891e0371e6bffff,0.575,438.894,pedestrian
891e0378597ffff,891e0378037ffff,3.745,3045.62,pedestrian
891e0371a0bffff,891e036340fffff,3.629,2725.093,pedestrian
891e03626c3ffff,891e03626cbffff,0.459,363.686,pedestrian
891e0371c43ffff,891e037aa77ffff,11.08,8465.136,pedestrian
891e0378c73ffff,891e037851bffff,6.259,5062.139,pedestrian
891e0361e9bffff,891e037a527ffff,20.96,15952.725,pedestrian
891e0378b8bffff,891e0378b77ffff,1.582,1204.631,pedestrian
891e036ae17ffff,891e036ae03ffff,0.376,285.259,pedestrian
891e036053bffff,891e037aa9bffff,17.951,13756.572,pedestrian
891e03612b7ffff,891e036a363ffff,9.701,7287.88,pedestrian
891e0378da3ffff,891e037a907ffff,4.533,3433.202,pedestrian
891e037a98bffff,891e036347bffff,3.418,2593.726,pedestrian
891e0379d7bffff,891e03780a3ffff,7.455,5904.855,pedestrian
891e037a9b7ffff,891e0378c27ffff,7.116,5457.929,pedestrian
891e037ac23ffff,891e037aad3ffff,4.717,3740.595,pedestrian
891e0371e33ffff,891e03636dbffff,7.786,5869.081,pedestrian
891e034598bffff,891e037a047ffff,6.313,5132.717,pedestrian
891e037a857ffff,891e037ab9bffff,2.184,1747.5,pedestrian
891e037ab53ffff,891e0378567ffff,4.156,3407.338,pedestrian
891e0379963ffff,891e0378d97ffff,10.33,7908.78,pedestrian
891e036369bffff,891e0378e83ffff,8.037,6157.919,pedestrian
891e0378e9bffff,891e03781b3ffff,2.214,1841.095,pedestrian
891e037accfffff,891e036148bffff,11.866,9093.62,pedestrian
891e0371243ffff,891e037a53bffff,1.715,1905.596,pedestrian
891e0379963ffff,891e037aa93ffff,11.681,9052.527,pedestrian
891e036ad13ffff,891e037ac63ffff,19.926,15140.536,pedestrian
891e0378c8fffff,891e037aa27ffff,1.427,1144.029,pedestrian
891e037ae27ffff,891e037aa53ffff,3.351,2770.338,pedestrian
891e037127bffff,891e0379947ffff,16.816,12974.575,pedestrian
891e0371a07ffff,891e0371c57ffff,5.142,3925.768,pedestrian
891e037998fffff,891e0378597ffff,12.15,9564.728,pedestrian
891e036ad1bffff,891e036106fffff,3.917,3023.416,pedestrian
891e037136bffff,891e0371303ffff,1.429,1137.113,pedestrian
891e0360e07ffff,891e0360e03ffff,0.522,400.049,pedestrian
891e037112fffff,891e037aa73ffff,10.875,8334.325,pedestrian
891e03631a3ffff,891e0378c83ffff,11.548,8795.78,pedestrian
891e0378babffff,891e037898fffff,3.184,2428.778,pedestrian
891e0371e63ffff,891e037ae3bffff,7.331,5551.434,pedestrian
891e0378a6bffff,891e0378e9bffff,6.182,4803.205,pedestrian
891e037ac27ffff,891e037a90bffff,3.468,2716.998,pedestrian
891e036145bffff,891e037ad4bffff,10.518,8012.109,pedestrian
891e037aa07ffff,891e0371357ffff,7.073,5576.238,pedestrian
891e037aa23ffff,891e037a86fffff,1.952,1473.866,pedestrian
891e037a3abffff,891e037aa6fffff,6.686,5423.541,pedestrian
891e037aab7ffff,891e037aa53ffff,2.952,2447.47,pedestrian
891e037abcbffff,891e037ae93ffff,5.717,4593.222,pedestrian
891e0378cc7ffff,891e03606c7ffff,11.516,8765.559,pedestrian
891e0360033ffff,891e0378843ffff,16.722,12513.187,pedestrian
891e03789d7ffff,891e0378833ffff,1.875,1469.287,pedestrian
891e03714abffff,891e03712c3ffff,5.399,4092.168,pedestrian
891e0361887ffff,891e037aa5bffff,20.773,16068.866,pedestrian
891e03612a7ffff,891e036a4b7ffff,6.805,5114.928,pedestrian
891e037142fffff,891e0371093ffff,0.508,370.308,pedestrian
891e03710c7ffff,891e037a323ffff,8.522,6733.102,pedestrian
891e037aba3ffff,891e037b147ffff,14.165,12721.409,pedestrian
891e036a04bffff,891e037a81bffff,15.555,11963.541,pedestrian
891e037ae0fffff,891e0378043ffff,7.411,6471.914,pedestrian
891e037883bffff,891e037ab8bffff,6.598,5110.489,pedestrian
891e037ac6fffff,891e03713b7ffff,4.923,3862.622,pedestrian
891e0363597ffff,891e0378d6fffff,9.528,7289.147,pedestrian
891e036a583ffff,891e0361657ffff,1.695,1281.903,pedestrian
891e037135bffff,891e037ac03ffff,2.18,1676.242,pedestrian
891e1cb6dafffff,891e1cb6d73ffff,2.197,1673.917,pedestrian
891e0363667ffff,891e037ac3bffff,8.054,6186.779,pedestrian
891e036a4cfffff,891e03799abffff,1.701,1264.286,pedestrian
891e0363663ffff,891e0363227ffff,3.283,2523.948,pedestrian
891e037ad77ffff,891e037aa1bffff,5.54,4310.526,pedestrian
891e0378d9bffff,891e037aa63ffff,3.274,2582.529,pedestrian
891e03788b7ffff,891e0361477ffff,5.312,4183.23,pedestrian
891e0378ccfffff,891e037ad1bffff,7.669,5895.783,pedestrian
891e0371e93ffff,891e037ac3bffff,5.656,4340.177,pedestrian
891e0363643ffff,891e037aacfffff,5.937,4711.21,pedestrian
891e037805bffff,891e037a323ffff,7.958,6353.319,pedestrian
891e037a127ffff,891e037a527ffff,2.832,2235.157,pedestrian
891e037a863ffff,891e036324bffff,7.023,5326.546,pedestrian
891e037a207ffff,891e0378503ffff,4.354,3552.453,pedestrian
891e037a803ffff,891e037a80fffff,0.399,331.064,pedestrian
891e03602b3ffff,891e037a9d7ffff,13.133,9760.996,pedestrian
891e0360227ffff,891e0360223ffff,0.535,396.002,pedestrian
891e037ae57ffff,891e0371107ffff,9.694,7474.727,pedestrian
891e03714a3ffff,891e03714afffff,0.53,411.888,pedestrian
891e0378d6fffff,891e0378c43ffff,4.673,3558.989,pedestrian
891e03782abffff,891e0378163ffff,4.33,3352.464,pedestrian
891e03780b3ffff,891e0378c57ffff,5.337,4179.951,pedestrian
891e0361627ffff,891e037aabbffff,10.709,8221.065,pedestrian
891e0344b87ffff,891e037816fffff,14.652,11488.865,pedestrian
891e037ac23ffff,891e037a167ffff,4.402,3485.507,pedestrian
891e03702bbffff,891e03702abffff,0.398,328.58,pedestrian
891e0360eb3ffff,891e0360e97ffff,0.832,643.853,pedestrian
891e037a043ffff,891e0378e83ffff,9.863,7793.798,pedestrian
891e0378123ffff,891e037aa73ffff,2.609,2114.349,pedestrian
891e034494fffff,891e0363097ffff,16.284,12213.205,pedestrian
891e037022fffff,891e0371c13ffff,1.68,1268.869,pedestrian
891e03714a3ffff,891e0371003ffff,3.211,2429.852,pedestrian
891e036a3cbffff,891e0378963ffff,8.984,6671.783,pedestrian
891e0371167ffff,891e0379d33ffff,17.177,13324.425,pedestrian
891e037ad4bffff,891e0371e07ffff,4.954,3787.322,pedestrian
891e03611b7ffff,891e03602a7ffff,2.527,1931.865,pedestrian
891e037a9afffff,891e037a983ffff,1.533,1151.362,pedestrian
891e0371aa7ffff,891e0371c0fffff,4.163,3263.061,pedestrian
891e0378163ffff,891e0378157ffff,1.155,929.638,pedestrian
891e037a39bffff,891e037aa2fffff,8.242,6659.319,pedestrian
891e0371143ffff,891e037a38fffff,9.996,8209.75,pedestrian
891e037a02fffff,891e037ab5bffff,7.64,6298.79,pedestrian
891e03632b7ffff,891e0363077ffff,1.199,928.315,pedestrian
891e03614cbffff,891e037aa8fffff,8.841,6839.843,pedestrian
891e036318fffff,891e037aad7ffff,12.132,9389.976,pedestrian
891e036327bffff,891e0363247ffff,0.417,311.825,pedestrian
891e03786b7ffff,891e037aca3ffff,10.938,8816.073,pedestrian
891e037ac37ffff,891e0378cabffff,7.688,5990.598,pedestrian
891e03631b3ffff,891e037ac0fffff,12.672,9499.711,pedestrian
891e034598fffff,891e03713a3ffff,12.827,10770.744,pedestrian
891e03603d7ffff,891e037a81bffff,16.235,12387.633,pedestrian
891e037a827ffff,891e037ae77ffff,4.399,3493.792,pedestrian
891e0371a83ffff,891e03633a3ffff,9.974,7487.02,pedestrian
891e03603d3ffff,891e03630d3ffff,9.651,7105.005,pedestrian
891e0371e87ffff,891e037aad7ffff,9.279,7202.863,pedestrian
891e0378903ffff,891e0379d37ffff,7.143,5421.518,pedestrian
891e03784abffff,891e03785a3ffff,3.813,3299.541,pedestrian
891e037aba7ffff,891e037a2b7ffff,11.452,9243.916,pedestrian
891e037aa63ffff,891e0378cdbffff,1.25,987.227,pedestrian
891e037a367ffff,891e0378313ffff,5.937,4661.525,pedestrian
891e0360ec3ffff,891e037aa0bffff,18.577,14140.034,pedestrian
891e036323bffff,891e036364bffff,3.72,2830.099,pedestrian
891e036262bffff,891e03631a3ffff,4.382,3330.557,pedestrian
891e036a603ffff,891e0379ba3ffff,2.525,1913.762,pedestrian
891e0378cd3ffff,891e0361543ffff,10.712,8369.351,pedestrian
891e0378c77ffff,891e037a93bffff,6.762,5072.753,pedestrian
891e0361297ffff,891e03606cfffff,7.529,5781.768,pedestrian
891e037aba3ffff,891e037a86fffff,2.196,1712.551,pedestrian
891e037a9c7ffff,891e037857bffff,7.594,6173.017,pedestrian
891e0361447ffff,891e0378327ffff,11.116,8490.259,pedestrian
891e0378a4fffff,891e036a653ffff,4.19,3133.161,pedestrian
891e037abd7ffff,891e03712b3ffff,9.044,7061.414,pedestrian
891e036a437ffff,891e037a8cfffff,12.446,9435.031,pedestrian
891e037ac77ffff,891e037a36fffff,5.97,4924.101,pedestrian
891e034497bffff,891e034496fffff,0.905,843.135,pedestrian
891e034592bffff,891e037a44bffff,1.021,774.961,pedestrian
891e0370217ffff,891e037ab37ffff,12.9,9825.986,pedestrian
891e037337bffff,891e037aa73ffff,13.858,10882.424,pedestrian
891e036ac77ffff,891e036100fffff,5.688,4352.38,pedestrian
891e0371a4bffff,891e0371347ffff,4.884,3774.534,pedestrian
891e037a137ffff,891e037aac7ffff,4.973,3991.302,pedestrian
891e0378da7ffff,891e036366bffff,0.441,323.813,pedestrian
891e036052fffff,891e037a86fffff,15.959,12118.278,pedestrian
891e037aad7ffff,891e036308bffff,9.185,7103.915,pedestrian
891e0371a87ffff,891e03713afffff,3.625,2814.374,pedestrian
891e037ac03ffff,891e037858fffff,5.603,4580.22,pedestrian
891e037aea3ffff,891e0378c83ffff,5.122,3953.538,pedestrian
891e0379acfffff,891e03788cfffff,12.965,10058.168,pedestrian
891e0360e23ffff,891e037a907ffff,17.304,12978.795,pedestrian
891e0361e43ffff,891e0361e5bffff,0.535,389.156,pedestrian
891e03636d7ffff,891e037a97bffff,1.479,1167.523,pedestrian
891e1cb6dc7ffff,891e0379d5bffff,8.177,6646.222,pedestrian
891e03613d7ffff,891e036106fffff,0.49,377.317,pedestrian
891e037a90bffff,891e037ac37ffff,4.001,3110.281,pedestrian
891e0345d2bffff,891e0378123ffff,15.142,12006.758,pedestrian
891e037aa03ffff,891e0378e97ffff,3.77,2970.081,pedestrian
891e0379c0fffff,891e0378c83ffff,9.065,7120.238,pedestrian
891e037134bffff,891e037ac6bffff,2.929,2312.251,pedestrian
891e037184bffff,891e0371343ffff,6.192,4809.158,pedestrian
891e0378c17ffff,891e0378117ffff,3.441,3003.302,pedestrian
891e0363483ffff,891e037a967ffff,2.658,1970.602,pedestrian
891e0371b23ffff,891e03635abffff,1.86,1461.302,pedestrian
891e03636c7ffff,891e0361383ffff,11.708,8923.051,pedestrian
891e0360533ffff,891e0360493ffff,4.165,3198.046,pedestrian
891e0378c1bffff,891e03789cfffff,4.975,3815.791,pedestrian
891e0378b5bffff,891e037810bffff,7.359,5626.322,pedestrian
891e03783a7ffff,891e037ab8bffff,6.764,5399.916,pedestrian
891e0378c33ffff,891e037128bffff,11.307,8957.713,pedestrian
891e037186bffff,891e037187bffff,0.425,320.862,pedestrian
891e037aa23ffff,891e0378c37ffff,2.623,2095.371,pedestrian
891e03600c7ffff,891e037a897ffff,14.56,10990.592,pedestrian
891e0371203ffff,891e037a5b3ffff,2.783,2241.916,pedestrian
891e037ae93ffff,891e037ae67ffff,2.984,2409.629,pedestrian
891e0378143ffff,891e037830bffff,2.314,1763.882,pedestrian
