source,target,length,time,costing
891e036326fffff,891e036061bffff,6.747,547.899,auto
891e037a9cbffff,891e037a9cfffff,1.013,127.484,auto
891e037aa47ffff,891e037121bffff,13.244,895.224,auto
891e0371a8bffff,891e0371e03ffff,2.469,214.838,auto
891e037ab8bffff,891e037aa33ffff,2.372,236.472,auto
891e0361483ffff,891e0363087ffff,7.102,540.934,auto
891e037a2bbffff,891e037aacfffff,8.276,684.988,auto
891e036a217ffff,891e036a28fffff,0.542,99.91,auto
891e037a12fffff,891e03785afffff,3.396,265.081,auto
891e0378d3bffff,891e03781b7ffff,7.014,510.224,auto
891e036ac33ffff,891e037060fffff,49.847,2006.883,auto
891e0378227ffff,891e037ac63ffff,13.667,1035.197,auto
891e0371327ffff,891e0361887ffff,39.531,1696.879,auto
891e03459d7ffff,891e0345993ffff,5.9,584.62,auto
891e0378c73ffff,891e0371347ffff,11.873,722.769,auto
891e03781cbffff,891e037aac7ffff,5.415,510.539,auto
891e0378d8fffff,891e0378edbffff,7.653,537.799,auto
891e0378317ffff,891e0371acbffff,17.776,1125.653,auto
891e037aa3bffff,891e03789d7ffff,8.047,598.262,auto
891e037a443ffff,891e037a9cfffff,17.258,1330.847,auto
891e0379913ffff,891e0378177ffff,9.444,694.797,auto
891e0378c1bffff,891e03713a3ffff,14.492,938.747,auto
891e0371c13ffff,891e0371c8bffff,0.656,86.876,auto
891e037124fffff,891e037ae43ffff,5.034,452.326,auto
891e0378bcfffff,891e03798a7ffff,11.671,730.27,auto
891e03789dbffff,891e037a06bffff,13.591,1037.228,auto
891e037a677ffff,891e0378583ffff,6.159,521.183,auto
891e037ad53ffff,891e037ad6fffff,3.469,277.032,auto
891e03603c7ffff,891e0360033ffff,2.423,222.471,auto
891e037aa07ffff,891e0378177ffff,4.276,390.576,auto
891e037a957ffff,891e0378597ffff,8.296,685.608,auto
891e03785c7ffff,891e0378edbffff,6.267,548.218,auto
891e03630b7ffff,891e0361eafffff,32.308,1496.85,auto
891e0371537ffff,891e0378e83ffff,19.012,1239.084,auto
891e0378b23ffff,891e0378b47ffff,2.457,259.746,auto
891e0363417ffff,891e03630c3ffff,2.762,280.249,auto
891e0344b63ffff,891e037a59bffff,0.623,133.132,auto
891e0363507ffff,891e03635dbffff,2.431,250.574,auto
891e037a3c7ffff,891e037aa73ffff,7.068,600.772,auto
891e0378babffff,891e037ac77ffff,12.615,812.814,auto
891e0379c63ffff,891e0371173ffff,21.368,1613.076,auto
891e0378edbffff,891e037ae37ffff,9.219,682.428,auto
891e0379927ffff,891e037857bffff,12.662,941.951,auto
891e036066fffff,891e0361117ffff,7.338,973.138,auto
891e03630d3ffff,891e037aa63ffff,8.508,675.16,auto
891e037abc3ffff,891e037a877ffff,1.819,194.857,auto
891e037a86fffff,891e03614a3ffff,9.916,782.576,auto
891e036a6dbffff,891e0378ed7ffff,16.016,954.499,auto
891e0360e8fffff,891e037ae0fffff,32.438,1602.377,auto
891e037a903ffff,891e0378177ffff,9.358,775.227,auto
891e03605cfffff,891e036055bffff,1.835,235.072,auto
891e037a817ffff,891e037aa17ffff,6.943,573.51,auto
891e036355bffff,891e037a907ffff,5.777,477.972,auto
891e0345ba7ffff,891e0361883ffff,62.402,2748.076,auto
891e037aa4fffff,891e0378197ffff,3.588,295.341,auto
891e0371e63ffff,891e0371e6bffff,0.605,73.15,auto
891e0378597ffff,891e0378037ffff,3.934,303.784,auto
891e0371a0bffff,891e036340fffff,5.273,522.007,auto
891e03626c3ffff,891e03626cbffff,0.459,65.701,auto
891e0371c43ffff,891e037aa77ffff,14.681,996.096,auto
891e0378c73ffff,891e037851bffff,7.975,632.955,auto
891e0361e9bffff,891e037a527ffff,21.267,1529.586,auto
891e0378b8bffff,891e0378b77ffff,2.072,213.076,auto
891e036ae17ffff,891e036ae03ffff,0.374,386.43,auto
891e036053bffff,891e037aa9bffff,19.338,1448.39,auto
891e03612b7ffff,891e036a363ffff,9.996,529.891,auto
891e0378da3ffff,891e037a907ffff,6.16,453.377,auto
891e037a98bffff,891e036347bffff,3.997,331.668,auto
891e0379d7bffff,891e03780a3ffff,11.765,797.386,auto
891e037a9b7ffff,891e0378c27ffff,9.824,675.079,auto
891e037ac23ffff,891e037aad3ffff,5.707,477.905,auto
891e0371e33ffff,891e03636dbffff,8.24,531.541,auto
891e034598bffff,891e037a047ffff,7.248,561.75,auto
891e037a857ffff,891e037ab9bffff,1.97,199.688,auto
891e037ab53ffff,891e0378567ffff,4.632,395.082,auto
891e0379963ffff,891e0378d97ffff,10.685,720.319,auto
891e036369bffff,891e0378e83ffff,8.231,558.101,auto
891e0378e9bffff,891e03781b3ffff,3.162,222.425,auto
891e037accfffff,891e036148bffff,12.634,840.446,auto
891e0371243ffff,891e037a53bffff,1.942,171.663,auto
891e0379963ffff,891e037aa93ffff,12.444,931.609,auto
891e036ad13ffff,891e037ac63ffff,21.683,1439.74,auto
891e0378c8fffff,891e037aa27ffff,1.832,217.335,auto
891e037ae27ffff,891e037aa53ffff,3.803,369.945,auto
891e037127bffff,891e0379947ffff,19.626,1276.326,auto
891e0371a07ffff,891e0371c57ffff,5.277,412.245,auto
891e037998fffff,891e0378597ffff,13.586,1031.925,auto
891e036ad1bffff,891e036106fffff,5.197,428.37,auto
891e037136bffff,891e0371303ffff,2.181,234.393,auto
891e0360e07ffff,891e0360e03ffff,0.522,63.477,auto
891e037112fffff,891e037aa73ffff,11.969,940.932,auto
891e03631a3ffff,891e0378c83ffff,13.328,984.153,auto
891e0378babffff,891e037898fffff,3.596,318.955,auto
891e0371e63ffff,891e037ae3bffff,8.883,588.521,auto
891e0378a6bffff,891e0378e9bffff,8.264,609.295,auto
891e037ac27ffff,891e037a90bffff,4.589,336.016,auto
891e036145bffff,891e037ad4bffff,11.774,761.946,auto
891e037aa07ffff,891e0371357ffff,6.967,535.09,auto
891e037aa23ffff,891e037a86fffff,2.878,305.965,auto
891e037a3abffff,891e037aa6fffff,6.865,565.954,auto
891e037aab7ffff,891e037aa53ffff,4.849,434.209,auto
891e037abcbffff,891e037ae93ffff,5.812,527.475,auto
891e0378cc7ffff,891e03606c7ffff,13.077,1016.26,auto
891e0360033ffff,891e0378843ffff,17.054,1331.558,auto
891e03789d7ffff,891e0378833ffff,3.906,308.147,auto
891e03714abffff,891e03712c3ffff,6.986,479.761,auto
891e0361887ffff,891e037aa5bffff,23.028,1472.142,auto
891e03612a7ffff,891e036a4b7ffff,9.362,748.668,auto
891e037142fffff,891e0371093ffff,0.508,63.391,auto
891e03710c7ffff,891e037a323ffff,8.951,664.301,auto
891e037aba3ffff,891e037b147ffff,14.747,1187.079,auto
891e036a04bffff,891e037a81bffff,19.597,1362.686,auto
891e037ae0fffff,891e0378043ffff,11.045,880.097,auto
891e037883bffff,891e037ab8bffff,7.111,499.205,auto
891e037ac6fffff,891e03713b7ffff,5.937,468.193,auto
891e0363597ffff,891e0378d6fffff,11.681,858.828,auto
891e036a583ffff,891e0361657ffff,3.547,313.268,auto
891e037135bffff,891e037ac03ffff,2.365,233.24,auto
891e1cb6dafffff,891e1cb6d73ffff,2.733,287.364,auto
891e0363667ffff,891e037ac3bffff,9.224,623.633,auto
891e036a4cfffff,891e03799abffff,1.931,172.817,auto
891e0363663ffff,891e0363227ffff,3.816,339.034,auto
891e037ad77ffff,891e037aa1bffff,11.02,835.113,auto
891e0378d9bffff,891e037aa63ffff,5.193,437.609,auto
891e03788b7ffff,891e0361477ffff,5.558,513.047,auto
891e0378ccfffff,891e037ad1bffff,9.955,711.083,auto
891e0371e93ffff,891e037ac3bffff,6.496,511.383,auto
891e0363643ffff,891e037aacfffff,5.955,462.14,auto
891e037805bffff,891e037a323ffff,8.843,696.487,auto
891e037a127ffff,891e037a527ffff,6.472,479.057,auto
891e037a863ffff,891e036324bffff,7.422,619.764,auto
891e037a207ffff,891e0378503ffff,4.72,449.142,auto
891e037a803ffff,891e037a80fffff,1.669,204.947,auto
891e03602b3ffff,891e037a9d7ffff,12.864,909.385,auto
891e0360227ffff,891e0360223ffff,0.613,70.674,auto
891e037ae57ffff,891e0371107ffff,11.12,822.976,auto
891e03714a3ffff,891e03714afffff,0.628,71.352,auto
891e0378d6fffff,891e0378c43ffff,4.4,316.77,auto
891e03782abffff,891e0378163ffff,5.389,426.276,auto
891e03780b3ffff,891e0378c57ffff,5.633,496.259,auto
891e0361627ffff,891e037aabbffff,12.291,904.748,auto
891e0344b87ffff,891e037816fffff,20.308,1441.079,auto
891e037ac23ffff,891e037a167ffff,5.117,385.936,auto
891e03702bbffff,891e03702abffff,0.463,121.547,auto
891e0360eb3ffff,891e0360e97ffff,0.832,101.173,auto
891e037a043ffff,891e0378e83ffff,11.43,917.822,auto
891e0378123ffff,891e037aa73ffff,2.922,260.097,auto
891e034494fffff,891e0363097ffff,19.022,1299.194,auto
891e037022fffff,891e0371c13ffff,1.68,202.212,auto
